"Barcode","Cluster.dif0","Cluster.dif1","Cluster.dif2"
1627,1,1,1
1628,2,2,2
1631,3,3,3
1632,4,4,4
1633,5,5,5
1634,6,2,2
1635,7,6,2
1636,8,7,6
1637,9,8,7
1638,10,9,8
1639,11,10,9
1640,12,11,10
1641,7,6,2
1642,13,12,11
1643,14,13,12
1644,15,2,2
1645,4,4,4
1646,16,14,13
1648,17,15,14
1650,18,16,15
1652,2,2,2
1653,19,4,1
1654,20,17,16
1655,21,18,17
1656,22,19,18
1657,23,20,19
1658,24,21,20
1659,2,2,2
1660,7,6,2
1661,25,22,21
1662,19,4,1
1663,26,23,22
1664,4,4,4
1665,19,4,1
1666,27,24,23
1667,4,4,4
1668,28,25,24
1669,2,2,2
1670,19,4,1
1671,29,26,25
1672,19,4,1
1673,19,4,1
1674,4,4,4
1675,30,27,26
1676,31,28,27
1677,32,29,28
1678,33,30,29
1679,34,31,30
1680,35,32,31
1681,36,33,32
1682,37,34,33
1683,38,6,2
1685,39,35,34
1686,40,36,35
1687,41,37,36
1688,42,38,37
1689,43,39,38
1690,44,4,4
1691,45,40,31
1692,46,41,31
1693,47,42,39
1694,48,43,39
1695,49,44,40
1696,50,45,41
1697,51,37,36
1698,52,46,42
1699,17,15,14
1700,53,4,4
1701,19,4,1
1702,54,47,43
1703,55,48,39
1704,56,2,2
1705,57,37,36
1706,58,49,44
1707,59,50,45
1708,60,51,46
1710,61,52,47
1711,62,53,48
1712,63,54,49
1713,56,2,2
1715,7,6,2
1716,64,55,50
1717,56,2,2
1718,65,56,51
1719,66,57,52
1720,67,58,53
1721,68,59,54
1722,69,60,55
1723,70,61,37
1724,71,62,56
1725,72,63,57
1726,7,6,2
1727,73,64,58
1728,74,65,59
1729,75,66,60
1731,76,67,61
1730,77,68,62
1732,78,69,39
1733,79,6,2
1734,80,70,4
1735,81,71,63
1736,82,6,2
1737,83,72,64
1738,84,73,65
1739,17,15,14
1740,85,74,66
1741,86,75,67
1742,87,2,2
1743,88,76,68
1744,89,77,69
1745,90,78,70
1747,91,79,71
1748,92,80,72
1749,93,81,73
1751,94,82,74
1752,95,83,75
1753,96,84,76
1754,87,2,2
1750,97,85,77
1756,98,86,78
1757,98,86,78
1758,99,87,79
1759,100,88,80
1760,101,89,81
1762,102,90,82
1765,103,91,83
1763,104,92,84
1766,105,93,85
1767,106,94,86
1768,107,95,87
1769,108,96,88
1770,109,97,89
1771,110,95,86
1772,111,98,90
1773,87,2,2
1774,112,99,89
1775,100,88,80
1776,113,100,91
1777,114,94,86
1778,115,101,92
1779,116,102,93
1780,117,90,82
1781,118,103,94
1782,119,104,94
1783,109,97,89
1784,102,90,82
1785,120,105,95
1786,117,90,82
1787,121,106,96
1788,122,107,97
1789,123,108,69
1790,124,109,98
1791,125,110,99
1793,126,111,100
1797,127,112,101
1798,128,113,102
1799,117,90,82
1800,129,90,82
1801,130,88,80
1802,117,90,82
1803,117,90,82
1804,131,86,78
1805,132,86,78
1806,133,114,103
1807,134,115,104
1808,135,116,105
1809,136,117,106
1810,117,90,82
1811,117,90,82
1812,137,118,107
1813,138,119,108
1814,117,90,82
1816,122,107,97
1817,102,90,82
1792,139,120,109
1794,102,90,82
1795,117,90,82
1796,117,90,82
1815,140,116,103
1818,141,121,110
1819,142,122,111
1820,143,2,2
1821,144,123,112
1822,145,124,113
1823,146,115,104
1824,122,107,97
1825,117,90,82
1826,117,90,82
1827,147,125,114
1828,148,126,115
1829,149,127,116
1830,150,128,117
1831,134,115,104
1832,151,129,118
1833,117,90,82
1834,152,130,119
1835,153,131,120
1836,154,132,120
1837,155,133,121
1838,156,132,120
1840,157,134,122
1841,158,135,122
1842,159,136,82
1843,160,137,123
1844,161,138,124
1845,162,139,125
1846,102,90,82
1847,163,140,126
1848,164,141,126
1849,165,142,127
1850,166,143,128
1851,167,144,129
1852,168,145,130
1853,169,146,131
1854,170,147,132
1855,171,148,133
1856,117,90,82
1857,172,149,134
1858,173,150,135
1863,174,151,136
1860,175,152,131
1861,176,153,137
1864,177,154,138
1866,178,155,139
1867,179,156,140
1868,180,157,141
1870,181,158,142
1872,182,159,143
1865,183,160,144
1871,184,161,145
1873,185,162,146
1874,185,162,146
1875,186,163,147
1877,187,164,138
1878,188,165,148
1879,189,166,149
1880,187,164,138
1881,187,164,138
1882,190,158,142
1883,191,164,138
1884,192,167,150
1885,193,168,151
1886,194,169,152
1887,189,166,149
1888,181,158,142
1889,195,170,153
1890,196,171,154
1892,197,172,155
1893,198,173,156
1894,199,174,157
1891,200,175,158
1895,201,176,159
1897,202,177,160
1899,203,178,161
1904,204,179,162
1896,205,180,163
1898,206,181,160
1900,207,164,138
1901,208,182,164
1902,209,183,159
1903,210,184,165
1905,209,183,159
1906,211,185,166
1907,212,186,167
1908,213,187,168
1909,214,188,169
1910,214,188,169
1911,215,189,169
1912,216,190,170
1913,217,188,169
1914,218,191,171
1915,219,192,88
1916,220,193,172
1917,221,194,173
1918,222,195,174
1919,223,196,175
1922,224,197,176
1923,216,190,170
1920,225,191,162
1921,226,198,177
1924,227,199,178
1925,228,200,179
1926,229,201,180
1927,230,202,181
1928,231,203,182
1929,232,204,183
1930,233,205,184
1931,234,206,185
