"Barcode","QC.sequencing","QC.clustering","Median.depth","Missing.bases","Coverage.percent"
1627,TRUE,TRUE,5038,255,99.1472427515634
1628,TRUE,TRUE,4526,257,99.1405544594188
1630,FALSE,FALSE,0,18586,37.8457011002241
1631,TRUE,TRUE,6909,0,100
1632,TRUE,TRUE,4407,2,99.9933117078554
1633,TRUE,TRUE,5940,51,99.8294485503127
1634,TRUE,TRUE,5421,253,99.153931043708
1635,TRUE,TRUE,6837,0,100
1636,TRUE,TRUE,6722,475,98.4115306156573
1637,TRUE,TRUE,8222,217,99.2743203023108
1638,TRUE,TRUE,8039,14,99.9531819549878
1639,TRUE,TRUE,8239,0,100
1640,TRUE,TRUE,1553,1007,96.6324449051935
1641,TRUE,TRUE,5177,0,100
1642,TRUE,TRUE,6888,255,99.1472427515634
1643,TRUE,TRUE,1836,2763,90.7601244022339
1644,TRUE,TRUE,7229,252,99.1572751897803
1645,TRUE,TRUE,6267,0,100
1646,TRUE,TRUE,6389,257,99.1405544594188
1647,FALSE,FALSE,57,14320,52.1118282446577
1648,TRUE,TRUE,3961,444,98.5151991438986
1650,TRUE,TRUE,1659,1042,96.5153997926629
1651,TRUE,FALSE,68,7631,74.4808213222754
1652,TRUE,TRUE,4645,830,97.2243587599906
1653,TRUE,TRUE,5857,223,99.254255425877
1654,TRUE,TRUE,536,2220,92.575995719493
1655,TRUE,TRUE,375,2309,92.2783667190583
1656,TRUE,TRUE,587,2449,91.8101862689362
1657,TRUE,TRUE,4541,253,99.153931043708
1658,TRUE,TRUE,378,3092,89.659900344447
1659,TRUE,TRUE,1408,1094,96.3415041969033
1660,TRUE,TRUE,5702,0,100
1661,TRUE,TRUE,393,3796,87.3056215095475
1662,TRUE,TRUE,5368,0,100
1663,TRUE,TRUE,1244,581,98.0570511319934
1664,TRUE,TRUE,8181,0,100
1665,TRUE,TRUE,6120,15,99.9498378089155
1666,TRUE,TRUE,2290,256,99.1438986054911
1667,TRUE,TRUE,10705,0,100
1668,TRUE,TRUE,1842,838,97.1976055914122
1669,TRUE,TRUE,2930,255,99.1472427515634
1670,TRUE,TRUE,4558,0,100
1671,TRUE,TRUE,7177,0,100
1672,TRUE,TRUE,2790,254,99.1505868976357
1673,TRUE,TRUE,3813,253,99.153931043708
1674,TRUE,TRUE,5740,17,99.9431495167709
1675,TRUE,TRUE,6911,255,99.1472427515634
1676,TRUE,TRUE,1539,4346,85.4663411697823
1677,TRUE,TRUE,567,5221,82.5402133565194
1678,TRUE,TRUE,7232,113,99.62211149383
1679,TRUE,TRUE,4948,120,99.5987024713239
1680,TRUE,TRUE,493,1414,95.2713774537672
1681,TRUE,TRUE,3833,55,99.8160719660235
1682,TRUE,TRUE,845,4816,83.8945925158011
1683,TRUE,TRUE,6617,0,100
1685,TRUE,TRUE,1188,1105,96.304718590108
1686,TRUE,TRUE,6603,595,98.0102330869812
1687,TRUE,TRUE,3249,394,98.6824064475136
1688,TRUE,TRUE,1925,112,99.6254556399024
1689,TRUE,TRUE,6694,245,99.1806842122864
1690,TRUE,TRUE,4747,0,100
1691,TRUE,TRUE,2622,866,97.1039695013878
